MedCodeId,OriginalReadCode,CleansedReadCode,Term,SnomedCTConceptId,SnomedCTDescriptionId,EmisCodeCategoryId,ethnicity
158361000000116,9i64,9i64.00,Asian and Chinese - ethnic category 2001 census,9.26E+13,1.58E+14,22,Mixed/Other
937511000006119,9i65,9i65.00,Other Mixed or Mixed unspecified - ethnic category 2001 census,9.26E+13,1.42E+14,22,Mixed/Other
56590016,9S9,9S9..00,Chinese,33897005,56590016,22,Mixed/Other
285952017,9S51,9S51.00,Other Black - Black/White orig,185999009,285952017,22,Mixed/Other
285953010,9S52,9S52.00,Other Black - Black/Asian orig,186000006,285953010,22,Mixed/Other
285987017,9SAC,9SAC.00,Other European (NMO),186017004,285987017,22,Mixed/Other
285988010,9SAD,9SAD.00,Other ethnic NEC (NMO),186005001,285958018,22,Mixed/Other
285989019,9SB,9SB..00,"Other ethnic, mixed origin",186019001,285989019,22,Mixed/Other
285990011,9SB1,9SB1.00,"Other ethnic, Black/White orig",186020007,285990011,22,Mixed/Other
285991010,9SB2,9SB2.00,"Other ethnic, Asian/White orig",186021006,285991010,22,Mixed/Other
285992015,9SB3,9SB3.00,"Other ethnic, mixed white orig",186022004,285992015,22,Mixed/Other
285993013,9SB4,9SB4.00,"Other ethnic, other mixed orig",186023009,285993013,22,Mixed/Other
286006015,9T1,9T1..00,New Zealand ethnic groups,186035008,286006015,22,Mixed/Other
1968271000006115,9T13,9T13.00,New Zealand Maori,186039002,286012013,22,Mixed/Other
1968291000006119,9T15,9T15.00,Cook Island Maori,186040000,286013015,22,Mixed/Other
1968311000006115,9T17,9T17.00,Niuean,186041001,286014014,22,Mixed/Other
1968321000006111,9T18,9T18.00,Tokelauan,186042008,286015010,22,Mixed/Other
1968341000006116,9T1A,9T1A.00,Other Pacific ethnic group,372148003,1210724015,22,Mixed/Other
285958018,9SA,9SA..00,Other ethnic non-mixed (NMO),186005001,285958018,22,Mixed/Other
285959014,9SA1,9SA1.00,Brit. ethnic minor. spec.(NMO),186006000,285959014,22,Mixed/Other
285960016,9SA2,9SA2.00,Brit. ethnic minor. unsp (NMO),186007009,285960016,22,Mixed/Other
286021014,9T1Y,9T1Y.00,Other New Zealand ethnic group,186035008,286006015,22,Mixed/Other
405068014,9SA4,9SA4.00,N African Arab/Iranian (NMO),270464009,405068014,22,Mixed/Other
405070017,9SAA,9SAA.00,Greek/Greek Cypriot (NMO),270466006,405070017,22,Mixed/Other
